GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
librarymanagementsystem,com.knf.dev.librarymanagementsystem.vo,CategoryRecord,15,0,0,0,1,0,3,0,3,0
librarymanagementsystem,com.knf.dev.librarymanagementsystem.vo,BookRecord,33,0,0,0,1,0,6,0,6,0
librarymanagementsystem,com.knf.dev.librarymanagementsystem.vo,PublisherRecord,15,0,0,0,1,0,3,0,3,0
librarymanagementsystem,com.knf.dev.librarymanagementsystem.vo,AuthorRecord,21,0,0,0,1,0,4,0,4,0
librarymanagementsystem,com.knf.dev.librarymanagementsystem.exception,NotFoundException,4,0,0,0,2,0,1,0,1,0
librarymanagementsystem,com.knf.dev.librarymanagementsystem.util,Mapper,71,0,0,0,7,0,9,0,9,0
librarymanagementsystem,com.knf.dev.librarymanagementsystem.controller,PublisherController,83,11,4,0,21,5,9,2,7,2
librarymanagementsystem,com.knf.dev.librarymanagementsystem.controller,IndexController,2,3,0,0,1,1,1,1,1,1
librarymanagementsystem,com.knf.dev.librarymanagementsystem.controller,FileExportController,6,6,0,0,2,3,1,1,1,1
librarymanagementsystem,com.knf.dev.librarymanagementsystem.controller,AuthorController,120,6,6,0,28,3,10,1,7,1
librarymanagementsystem,com.knf.dev.librarymanagementsystem.controller,CategoryController,83,11,4,0,21,5,9,2,7,2
librarymanagementsystem,com.knf.dev.librarymanagementsystem.controller,BookController,156,18,6,0,34,7,11,2,8,2
librarymanagementsystem,com.knf.dev.librarymanagementsystem.securityconfig,SecurityConfiguration,0,76,0,0,0,15,0,5,0,5
librarymanagementsystem,com.knf.dev.librarymanagementsystem.constant,Item,73,0,4,0,11,0,8,0,6,0
librarymanagementsystem,com.knf.dev.librarymanagementsystem.service.impl,UserServiceImpl,36,6,2,0,6,3,4,1,3,1
librarymanagementsystem,com.knf.dev.librarymanagementsystem.service.impl,BookServiceImpl,113,12,4,0,20,5,10,2,8,2
librarymanagementsystem,com.knf.dev.librarymanagementsystem.service.impl,CategoryServiceImpl,64,6,0,0,11,3,7,1,7,1
librarymanagementsystem,com.knf.dev.librarymanagementsystem.service.impl,FileServiceImpl,80,15,7,0,20,6,7,1,2,1
librarymanagementsystem,com.knf.dev.librarymanagementsystem.service.impl,AuthorServiceImpl,108,6,2,0,19,3,9,1,8,1
librarymanagementsystem,com.knf.dev.librarymanagementsystem.service.impl,PublisherServiceImpl,64,6,0,0,11,3,7,1,7,1
librarymanagementsystem,com.knf.dev.librarymanagementsystem.entity,Role,14,9,0,0,6,5,4,2,4,2
librarymanagementsystem,com.knf.dev.librarymanagementsystem.entity,Publisher,18,22,0,0,8,7,5,3,5,3
librarymanagementsystem,com.knf.dev.librarymanagementsystem.entity,Author,25,25,0,0,11,8,7,3,7,3
librarymanagementsystem,com.knf.dev.librarymanagementsystem.entity,Category,18,22,0,0,8,7,5,3,5,3
librarymanagementsystem,com.knf.dev.librarymanagementsystem.entity,User,39,24,0,0,17,10,11,3,11,3
librarymanagementsystem,com.knf.dev.librarymanagementsystem.entity,Book,86,84,0,0,32,21,18,6,18,6
librarymanagementsystem,com.knf.dev.librarymanagementsystem,Application,5,135,0,0,2,25,1,3,1,3
